algorithm,n,k,avg_time_ms,stddev_time_ms,avg_memory_bytes,repetitions_per_trial
Count Sort,100000,1000,2.767411,3.729911,404004,22
ARU Count Sort,100000,1000,0.649891,0.085766,1600768,50
Count Sort,100000,10000,0.351355,0.019961,440004,50
ARU Count Sort,100000,10000,0.596791,0.081556,1602424,50
Count Sort,100000,100000,0.963458,0.017618,800004,50
ARU Count Sort,100000,100000,0.547844,0.013500,1607608,50
Count Sort,100000,1000000,1.548483,0.038467,4400004,50
ARU Count Sort,100000,1000000,0.561555,0.019211,1624024,50
Count Sort,100000,10000000,5.277619,0.049532,40400004,33
ARU Count Sort,100000,10000000,0.595889,0.029325,1675912,50
Count Sort,500000,1000,4.934985,1.034883,2004004,50
ARU Count Sort,500000,1000,5.985792,0.921933,8000768,37
Count Sort,500000,10000,5.387746,1.618986,2040004,50
ARU Count Sort,500000,10000,5.812825,1.022471,8002424,10
Count Sort,500000,100000,5.763750,0.663636,2400004,50
ARU Count Sort,500000,100000,5.884424,0.273909,8007608,50
Count Sort,500000,1000000,11.474809,2.907424,6000004,32
ARU Count Sort,500000,1000000,6.348168,0.241072,8024024,50
Count Sort,500000,10000000,20.294025,4.344709,42000004,18
ARU Count Sort,500000,10000000,6.897525,1.586678,8075912,50
